epoch,KNN,MLP,NB,val MSE
19,0.14191919191919192,0.14225589225589225,0.22037037037037038,0.1522344684304395
17,0.1658249158249158,0.2099326599326599,0.2279461279461279,0.1433880748111443
15,0.1565656565656565,0.1454545454545454,0.2146464646464646,0.1346427325298265
13,0.1372053872053872,0.1675084175084175,0.2196969696969697,0.1243993184441571
11,0.1409090909090909,0.1553872053872053,0.1976430976430976,0.1125115341445692
9,0.1535353535353535,0.1213804713804713,0.2069023569023569,0.0998491590204078
7,0.1737373737373737,0.1398989898989899,0.2346801346801346,0.0867731667935954
5,0.1875420875420875,0.2127946127946128,0.2611111111111111,0.0782109687425738
3,0.2021885521885522,0.2205387205387205,0.2646464646464646,0.0683319339558455
1,0.2452861952861952,0.1006734006734006,0.3095959595959596,0.0650227488569425
0,0.2797979797979798,0.1653198653198653,0.2841750841750842,0.0643185354689827
